slug,competition_url,launch_year,problem_summary,teams,prize,beginner_friendly_rank,selected_notebooks_count,selected_count_rank,topic_domain,competition_tier,deadline_utc,medal_density_top5pct,normalized_public_lb_volatility,has_distinctive_preprocessing,is_completed,status,selection_mode
zillow-prize-1,https://www.kaggle.com/competitions/zillow-prize-1,2017,Predict log error in Zillow home valuations from property features and transaction history,3779,"1,200,000 Usd",1,30,1,real_estate,Featured,2017-01-03 23:59:00,1.534,1.000,true,true,selected,manual_single_competition_curation
spaceship-titanic,https://www.kaggle.com/competitions/spaceship-titanic,2022,Predict which passengers were transported to another dimension after a spaceship anomaly,2634,"25,000 Usd",2,30,2,tabular_classification,Getting Started,2022-05-04 23:59:00,1.268,0.781,true,true,selected,manual_single_competition_curation
amex-default-prediction,https://www.kaggle.com/competitions/amex-default-prediction,2022,Predict future credit default using aggregated customer statement histories,4874,"100,000 Usd",3,30,3,finance,Featured,2022-11-23 23:59:00,1.977,0.734,true,true,selected,manual_single_competition_curation
ieee-fraud-detection,https://www.kaggle.com/competitions/ieee-fraud-detection,2019,Detect fraudulent online transactions from identity and transaction tabular data,6380,"20,000 Usd",4,30,4,fraud_detection,Research,2019-10-03 23:59:00,1.812,0.663,true,true,selected,manual_single_competition_curation
elo-merchant-category-recommendation,https://www.kaggle.com/competitions/elo-merchant-category-recommendation,2018,Predict cardholder loyalty scores from historical and new merchant transactions,4128,"50,000 Usd",6,30,6,finance,Featured,2018-12-20 23:59:00,1.623,0.691,true,true,selected,manual_single_competition_curation
sberbank-russian-housing-market,https://www.kaggle.com/competitions/sberbank-russian-housing-market,2017,Predict Russian housing prices from macroeconomic and housing market features,3274,"25,000 Usd",7,30,7,real_estate,Featured,2017-07-12 23:59:00,1.447,0.608,true,true,selected,manual_single_competition_curation
home-credit-default-risk,https://www.kaggle.com/competitions/home-credit-default-risk,2018,Binary credit default prediction from current applications and multi-table customer credit history,7176,"70,000 Usd",5,40,5,finance,Featured,2018-08-29 23:59:00,2.684,1.000,true,true,selected,manual_single_competition_curation
recruit-restaurant-visitor-forecasting,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting,2018,Daily restaurant visitor forecasting from reservation logs store metadata and holiday calendars,2158,"25,000 Usd",8,30,8,restaurant_demand_forecasting,Featured,2018-02-06 00:00:00,0.027,1.000,true,true,selected,manual_single_competition_curation
optiver-trading-at-the-close,https://www.kaggle.com/competitions/optiver-trading-at-the-close,2023,Closing price movement prediction from order-book microstructure data,5153,"25,000 Usd",9,30,9,finance,Featured,2024-01-02 23:59:00,1.500,1.000,true,true,selected,manual_single_competition_curation
porto-seguro-safe-driver-prediction,https://www.kaggle.com/competitions/porto-seguro-safe-driver-prediction,2017,Binary insurance claim prediction from anonymized tabular features with explicit missing-value sentinels,5169,"25,000 Usd",10,30,10,insurance,Featured,2017-11-29 23:59:00,0.280,1.000,true,true,selected,manual_single_competition_curation
rossmann-store-sales,https://www.kaggle.com/competitions/rossmann-store-sales,2015,Store-level daily sales forecasting with calendar promotion competition and store metadata,3298,"35,000 Usd",4,30,4,retail,Featured,2015-12-14 23:59:00,0.040,1.000,true,true,selected,manual_single_competition_curation
competitive-data-science-predict-future-sales,https://www.kaggle.com/competitions/competitive-data-science-predict-future-sales,2018,Forecast next-month item sales from daily retail transactions and product shop metadata,16991,Kudos,11,30,11,retail,Community,2024-12-31 23:59:00,1.000,1.000,true,true,selected,manual_single_competition_curation
icr-identify-age-related-conditions,https://www.kaggle.com/competitions/icr-identify-age-related-conditions,2023,Predict age-related conditions from anonymized biomarker measurements and official Greeks metadata,6430,"60,000 Usd",11,30,11,biomedical_tabular,Featured,2023-08-10 23:59:00,1.000,1.000,true,true,selected,manual_single_competition_curation
ashrae-energy-prediction,https://www.kaggle.com/competitions/ashrae-energy-prediction,2019,Predict building energy meter readings from building metadata weather data and timestamped meter records,3614,"25,000 Usd",11,30,11,energy_forecasting_tabular,Featured,2019-12-19 23:59:00,1.000,1.000,true,true,selected,manual_single_competition_curation
restaurant-revenue-prediction,https://www.kaggle.com/competitions/restaurant-revenue-prediction,2015,Predict annual restaurant revenue from opening date location type and obfuscated numeric features,2257,"30,000 Usd",11,30,11,restaurant_tabular,Featured,2015-05-04 23:59:00,1.000,1.000,true,true,selected,manual_single_competition_curation
